localityname_value,buyrates_value_1,buyrates_value_2,buyratesqqa_value,buyratesqqa_image,buyratesqqa_image/_alt,buyrates_value_3,rentalrates_value_1,rentalrates_value_2,rentalrates_value_3,rentalrates_value_4,rentalrates_value_5,rentalrates_value_6
Manjri,Rs.,"4,165 - 4,718/sq. ft.",-1.90%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,Rs.,"6,630 - 8,160",Rs.,"8,075 - 10,498",,-
Manjri BK,Rs.,"4,590 - 5,100/sq. ft.",-,,,Not Available,Rs.,"7,759 - 8,313",Rs.,"9,116 - 9,945",,-
Marunji,Rs.,"4,378 - 5,058/sq. ft.",-5.88%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,,-,,-,Rs.,"10,072 - 12,087"
Mate Nagar,,-,-,,,Not Available,Rs.,"7,412 - 8,802",,-,,-
Meera Nagar,,-,-,,,Not Available,Rs.,"16,830 - 19,168",Rs.,"28,114 - 34,361",Rs.,"33,089 - 37,225"
Meeta Nagar,Rs.,"3,358 - 4,122/sq. ft.",-,,,See Trends,,-,,-,,-
Mhada Colony,Rs.,"6,672 - 7,480/sq. ft.",12.93%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"12,580 - 14,593",Rs.,"19,403 - 22,175",Rs.,"25,882 - 29,580"
Mhasoba Nagar,,-,-,,,Not Available,,-,Rs.,"11,329 - 12,745",,-
MIDC,,-,-,,,Not Available,Rs.,"4,726 - 5,671",,-,,-
Model Colony,,-,-,,,Not Available,Rs.,"13,260 - 14,790",Rs.,"17,850 - 22,950",Rs.,"24,395 - 28,054"
Mohamadwadi,Rs.,"4,548 - 5,355/sq. ft.",1.75%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"6,630 - 7,140",Rs.,"9,350 - 11,050",Rs.,"12,750 - 15,300"
Mohan Nagar,Rs.,"5,228 - 5,695/sq. ft.",4.10%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,,-,,-,,-
Mohanwadi,Rs.,"5,482 - 5,992/sq. ft.",-,,,Not Available,,-,Rs.,"16,473 - 18,207",,-
Mokarwadi,Rs.,"3,782 - 4,505/sq. ft.",-1.04%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,Rs.,"4,345 - 5,311",Rs.,"7,004 - 7,704",,-
Morwadi,,-,-,,,Not Available,,-,Rs.,"12,112 - 12,920",,-
Moshi,Rs.,"3,315 - 3,910/sq. ft.",7.50%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"5,535 - 6,542",Rs.,"6,793 - 8,303",Rs.,"10,396 - 11,435"
Mundhwa,Rs.,"4,632 - 5,398/sq. ft.",-2.48%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,Rs.,"7,382 - 8,859",Rs.,"12,304 - 15,585",,-
Nagar Road,,-,-,,,Not Available,Rs.,"6,962 - 9,282",,-,,-
Nanded,Rs.,"5,185 - 5,822/sq. ft.",-,,,See Trends,,-,Rs.,"9,490 - 10,353",,-
Nandel Fata,Rs.,"5,398 - 5,908/sq. ft.",-,,,Not Available,,-,Rs.,"9,453 - 11,172",,-
Narhe,Rs.,"3,782 - 4,505/sq. ft.",-1.04%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,Rs.,"4,345 - 5,311",Rs.,"7,004 - 7,704",,-
New Sanghvi,Rs.,"4,802 - 5,398/sq. ft.",0.85%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"7,072 - 7,956",Rs.,"9,806 - 11,206",,-
NIBM,Rs.,"4,718 - 5,610/sq. ft.",0%,,,See Trends,Rs.,"7,778 - 9,333",Rs.,"10,200 - 12,750",Rs.,"16,004 - 18,671"
Nigdi,Rs.,"5,185 - 5,908/sq. ft.",3.15%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"7,670 - 9,588",Rs.,"11,488 - 13,785",,-
Niranjan Park,,-,-,,,Not Available,,-,Rs.,"10,328 - 12,393",,-
North Hadapsar,,-,-,,,Not Available,,-,Rs.,"12,920 - 15,342",,-
Old Sangvi,,-,-,,,Not Available,Rs.,"7,191 - 9,109",,-,,-
Panchawati,,-,-,,,Not Available,Rs.,"9,894 - 10,389",,-,,-
Pandhari Nagar,Rs.,"4,675 - 5,865/sq. ft.",-11.43%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,Rs.,"10,811 - 11,751",Rs.,"11,864 - 14,407",Rs.,"15,375 - 16,473"
Papde Wasti,,-,-,,,Not Available,Rs.,"6,545 - 7,480",Rs.,"8,568 - 10,710",,-
Parande Nagar,,-,-,,,Not Available,,-,Rs.,"10,912 - 13,251",,-
Parvati Darshan,,-,-,,,Not Available,,-,Rs.,"14,537 - 18,812",,-
Pashan,Rs.,"6,248 - 7,098/sq. ft.",2.61%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"9,658 - 11,183",Rs.,"12,622 - 15,147",Rs.,"17,255 - 18,488"
Pashan-Sus Road,Rs.,"5,440 - 6,375/sq. ft.",-0.71%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,Rs.,"8,583 - 10,098",Rs.,"12,750 - 13,600",Rs.,"15,702 - 16,910"
Patil Nagar,Rs.,"5,865 - 6,418/sq. ft.",-3.33%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,,-,Rs.,"13,600 - 14,450",Rs.,"14,025 - 17,531"
Paud Road,,-,-,,,Not Available,Rs.,"8,857 - 11,071",,-,,-
Phursungi,Rs.,"3,528 - 4,250/sq. ft.",-1.09%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,Rs.,"5,470 - 6,464",Rs.,"9,486 - 10,276",Rs.,"14,436 - 17,061"
Pimple Gurav,Rs.,"5,015 - 5,950/sq. ft.",0.76%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"7,888 - 9,367",Rs.,"10,888 - 12,444",Rs.,"14,155 - 15,244"
