place_id,name,types,main_category
ChIJP5bvWMXBwjsRlHbtayV4t8o,"Kunika Creations - Designer Dresses, Western Wear, Kurtis, Sarees, Night Wear, Dress Material, Lingerie","clothing_store, store, point_of_interest, establishment",retail_general
ChIJndRGdLzBwjsRWuR8ZE4ngCs,Pawar Enterprises,"hardware_store, store, point_of_interest, establishment",retail_general
ChIJmy3-p2XAwjsRjqOQ1jGws1c,SUMAN COLLECTION,"clothing_store, store, point_of_interest, establishment",retail_general
ChIJ43MVqP7BwjsRWQlUyumVPLE,Laxmi ganeral store,"grocery_or_supermarket, store, point_of_interest, food, establishment",retail_general
ChIJU5vYCHnBwjsR4FN1sLS03Uc,Shree Shetkari chaha,"store, point_of_interest, food, establishment",retail_general
ChIJ-yNEba_BwjsR71CvFeZtcww,Dhanlaxmi General Store,"grocery_or_supermarket, store, point_of_interest, food, establishment",retail_general
ChIJV5Rbr9TBwjsR8cArsc41fPA,Kekiz The Cake Shop - Ghorpadi,"bakery, store, point_of_interest, food, establishment",food
ChIJPyitHkXAwjsR989wwx_-mCo,MedPlus Sopan Baug,"pharmacy, drugstore, store, health, point_of_interest, food, establishment",retail_general
ChIJpa4odbzBwjsR4ymoKrSOv6o,NAKODA HARDWARE AND ELECTRICALS,"hardware_store, store, point_of_interest, establishment",retail_general
ChIJuQHjQz_BwjsRtYKYUWjoto0,Kumudini General Stores and Snacks Centre,"store, point_of_interest, food, establishment",retail_general
ChIJf2BRTbzBwjsRcDKcpMW33OE,Mahalaxmi Store,"store, point_of_interest, food, establishment",retail_general
ChIJBcqE29nBwjsRQVFOsyuhQ5s,KISHOR CHEMIST AND SUPER MARKET,"pharmacy, store, health, point_of_interest, establishment",retail_general
ChIJvROECNfBwjsRWo735f3DwrQ,P S ENTERPRISES (MS STEEL PIPE BAR ANGLE CHANNEL GIRDER SUPPLIER),"store, point_of_interest, establishment",retail_general
ChIJRxI6ZmzBwjsRgv3D000nk2s,VM Collections,"clothing_store, store, point_of_interest, establishment",retail_general
ChIJXYSROaDBwjsR2W9sCtxsi9w,Vaishnavi Furnishing,"home_goods_store, store, point_of_interest, establishment",retail_general
ChIJBR6BGjnBwjsRikzvQYh1fFM,War Memorial Souvenir Shop,"store, point_of_interest, establishment",retail_general
ChIJJwu0h7vBwjsRdCE3-2c7TJ4,Tikha mitha sweets,"food, store, point_of_interest, establishment",retail_general
ChIJmTcny2_BwjsRHycDIOVK_c8,KHANDELWAL MEDICO,"pharmacy, store, point_of_interest, health, establishment",retail_general
ChIJrXOaaUfAwjsRRSw9tnMVDvE,The Artisanal Baking Co (Pre-Order Only),"bakery, food, store, point_of_interest, establishment",food
ChIJYz77MC3BwjsRLp_Vv21Np1o,Lucky ladies Emporium,"clothing_store, store, point_of_interest, establishment",retail_general
ChIJRYiBqqDBwjsR9QCc4stz5hA,Chitale Bandhu - B.T Kawade Road,"meal_takeaway, restaurant, food, store, point_of_interest, establishment",food
ChIJAQAAZK_BwjsRlSkSRx3oX-Q,Mantri Ply-lam,"furniture_store, home_goods_store, general_contractor, store, point_of_interest, establishment",retail_general
ChIJ8YEGh7vBwjsRkU_wZEci-xE,Aradhana Sweets,"food, store, point_of_interest, establishment",retail_general
ChIJE_S0dM7BwjsRRPFmjzr4gxc,Hamleys- The finest toy shop in the world,"clothing_store, store, point_of_interest, establishment",retail_general
ChIJvQQHCaXBwjsRmOzCultmk6E,Aditya Jewellers,"jewelry_store, store, point_of_interest, establishment",retail_general
ChIJSXWBTq_BwjsRk7MMY_jt51E,National Wines,"liquor_store, store, point_of_interest, establishment",retail_general
ChIJAa62Mp7BwjsRZacgqMqvEwM,Laxminarayan Chiwda Sweets and Namkeen,"food, store, point_of_interest, establishment",retail_general
ChIJW2qaK6XBwjsRpCUQuXgDudw,Gopal Steel,"store, point_of_interest, establishment",retail_general
ChIJda97GgDBwjsRkplX7P8_25o,"Lenskart.com at BT Kawade Road, Pune (First Lens Replacement Free)","store, point_of_interest, health, establishment",retail_general
