place_id,name,latitude,longitude,address,types,rating,user_ratings_total,business_status
ChIJs28wPnTAwjsRr8O7Jmuhcak,ROYAL ACES ETHNIC WEAR,18.5098131,73.84726069999999,"1541 Sadashiv Peth Tilak Road, Near Maharashtra Mandal Pune, Pune","clothing_store, home_goods_store, point_of_interest, store, establishment",4.8,201,OPERATIONAL
ChIJ5avibXTAwjsRFLAehkwajPQ,Jeans Express 👔👖,18.50981,73.8473638,"near Maharashtra Mandal, 1541, JEANS EXPRESS, near Maharashtra Mandal, Tilak Road, Pune","clothing_store, point_of_interest, store, establishment",4,42,OPERATIONAL
ChIJacE1P3TAwjsRSVzr4riYVvY,FITNFINE NX,18.5102324,73.8463379,"nr. Durvankur Daining Hall, 1542, Sadashiv Peth, Pune","clothing_store, point_of_interest, store, establishment",4.9,176,OPERATIONAL
ChIJoWmXdXPAwjsRvmc2pTGkCrw,Jazz Mens Wear,18.5091228,73.8491195,"EIFFEL SQUARE, opp. Tilak Smarak Mandir, Tilak Road, Sadashiv Peth, Pune","clothing_store, point_of_interest, store, establishment",4.7,11,OPERATIONAL
ChIJp9CubHTAwjsRWB-q3tqWBN4,Sparkle Perfumes,18.5091342,73.849125,"Shop no.9, EIFFEL SQUARE, opp. Tilak smarak Mandir, Sadashiv Peth, Pune","clothing_store, point_of_interest, store, establishment",3.2,531,OPERATIONAL
ChIJYxmua5rBwjsRRPTkFILfKGE,The Raymond Shop,18.5023702,73.85716959999999,"opp. Gokhale Hospital, 1031, Tilak Road, Shukrawar Peth, Pune","clothing_store, home_goods_store, point_of_interest, store, establishment",4.8,1207,OPERATIONAL
ChIJBZdYIQ3AwjsRSageu0kCs0Q,Sports World,18.5018319,73.8579048,"near Swargate, 1025, Tilak Road, Shukrawar Peth, Pune","clothing_store, point_of_interest, store, establishment",4,83,OPERATIONAL
ChIJH1NJY4i_wjsRwEv9cp9SyRM,United Colors Of Benetton,18.51794,73.84432,"SHOP NO-103, RENAISSANCE, Jangali Maharaj Road, Deccan Gymkhana, Pune","clothing_store, point_of_interest, store, establishment",4.2,362,OPERATIONAL
ChIJ_____3TAwjsR37QsCifEz84,Pradeep Fabrics,18.51061,73.8489164,"Bharat Natya Mandir, Sadashiv Peth, Pune","clothing_store, home_goods_store, point_of_interest, store, establishment",4,2,OPERATIONAL
ChIJ____PxjAwjsRhW8Q3vnIqn8,Big Shot,18.4967532,73.8607742,"Ratna C Building, SUJAY GARDEN, Mukund Nagar, Pune","clothing_store, point_of_interest, store, establishment",4.1,10,OPERATIONAL
ChIJm9TiwRDAwjsRO4D3yejyaKU,CottonKing,18.4967573,73.8603564,"Shop No. 28, Ratna Building, near Laxmi Narayan Road, Theater, Mukund Nagar, Pune","clothing_store, point_of_interest, store, establishment",4.3,183,OPERATIONAL
ChIJa41ibTHAwjsRdM0LS2o2-ec,Rangvarsha,18.512901,73.8484752,"Shop No. 831, RB Kumthekar Road, Chitrashala Chowk, Sadashiv Peth, Pune","clothing_store, point_of_interest, store, establishment",3.7,94,OPERATIONAL
ChIJveB_P3HAwjsRuVZQl-MuCjo,Tathastu,18.5130415,73.8474712,"709, opposite Tathastu, 710, RB Kumthekar Road, Perugate, Sadashiv Peth, Pune","clothing_store, point_of_interest, store, establishment",4.4,5324,OPERATIONAL
ChIJ9_AL73bAwjsR1UrgAkCcvNo,For Me Kids,18.5136989,73.8457822,"245 Chopra Mansion, Laxmi Road, Narayan Peth, Pune","clothing_store, point_of_interest, store, establishment",4.8,6,CLOSED_TEMPORARILY
